id,title,year,medium,dimension,description,additional_information,provenance,exhibitions,image,location,created_at,updated_at,deleted_at,author_id,copyright_line,source_book,source_photo,other_source,owner_id,status
21,عازف الربابة,1979,الوان زيتية على قماش,50×70,,,,,artworks/June2025/zjDmrFnWNPA1lEibf0Dt.jpg,N/A,2025-06-11 07:08:01,2025-06-11 07:08:01,,15,,,,,54,Completed
22,N/A,"0000",,,,,,,artworks/June2025/Ebvnb7y6ElMitct68tLG.png,N/A,,2025-06-12 07:43:13,,33,,,,,8,incomplet
23,N/A,"0000",,,,,,,artworks/June2025/wJX9l78Xb8YaF5MgbTpk.png,N/A,,2025-06-12 07:21:02,,33,,,,,78,incomplet
24,بادية، خامات مختلفة,1987,,,,,,,artworks/June2025/awG9xfntxmmWdFTl1sbW.png,N/A,,2025-06-12 07:27:59,,33,,أوردها عبد الرحمان السليمان، مسيرة الفن التشكيلي السعودي، وزارة الثقافة والإعلام، الرياض، 1433ه، ص 252.,,,75,incomplet
25,,"0000",,,,,,,artworks/June2025/izCBPffz5IUruvGbOItA.png,N/A,,2025-06-12 07:29:25,,33,,,,,75,incomplet
26,N/A,"0000",,,,,,,artworks/June2025/MCAsXehqxBTMtpiKfMNa.png,N/A,,2025-06-12 07:30:32,,33,,,,,8,incomplet
27,,"0",,,,,,,artworks/June2025/ZhdkFufRP7STLIA4ZtzB.png,N/A,2025-06-11 19:44:41,2025-06-11 19:44:41,,33,,,,,8,incomplet
28,لوحة حول السدو,"0000",,,,,,,artworks/June2025/FCNFF8GPJ7AUu5mPV3fE.png,N/A,,2025-06-12 07:31:45,,33,,"نقلا عن موقع تنزيل مقال نواف العجوني، «الفنان التشكيلي الرشيدي لـ""أضواء الوطن"": عمل الفنان التشكيلي يتجاوز الريشة إلى الأعمار بـ”الفن والزخرفة والنحت""»، جريدة أضوء الوطن، 24 مارس 2018، شوهد في 11 ماي 2025.",,,75,incomplet
29,جانب من معرض شخصي,"0000",,,,,,,artworks/June2025/myebIQL0ybCS21RArdKI.png,N/A,,2025-06-12 07:37:48,,33,,الرابط. شوهد في 11 ماي 2025,,,75,incomplet
30,,"0000",,,,,,,artworks/June2025/izimQ7DWOn9F9IYCFvuF.png,N/A,,2025-06-12 07:41:10,,33,,,,,39,incomplet
31,N/A,"0000",,,,,,,artworks/June2025/wN5KGEdbFfL8ex711WPW.png,N/A,,2025-06-12 07:42:47,,33,,,,,39,incomplet
32,,"0000",,,,,,,artworks/June2025/NvSZVYsMoGQJLYX9SyTU.png,N/A,,2025-06-12 07:44:00,,33,,,,,39,incomplet
33,N/A,"0000",,,,,,,artworks/June2025/45oFxJzhWcttFiQ89WTq.png,N/A,,2025-06-12 07:22:29,,33,,,,,8,incomplet
34,,"0000",,,,,,,artworks/June2025/Y9BnOBODlcvoA89Qnrwu.png,N/A,,2025-06-12 07:22:47,,33,,,,,8,incomplet
35,N/A,"0000",,,صور لبعض الأعمال الفنية المعنيّة بالنّظر,,,,artworks/June2025/VXYmLObzSt2YF1eMShEE.png,N/A,,2025-06-12 07:24:20,,33,,صور لبعض الأعمال الفنية المعنيّة بالنّظر,,,75,incomplet
36,,"0000",,,,,,,artworks/June2025/C5eGAciBOBtOy8SJZU9K.png,N/A,2025-06-12 07:53:16,2025-06-12 07:53:16,,33,,,,,39,incomplet
37,,"0000",,,,,,,artworks/June2025/hgHXopt33DBaaCuJMGUa.png,N/A,2025-06-12 08:02:48,2025-06-12 08:02:48,,33,,,,,39,incomplet
38,,"0000",,,,,,,artworks/June2025/RBab7uG4kW6fpCF7hXX8.png,N/A,2025-06-12 08:04:10,2025-06-12 08:04:10,,33,,,,,18,incomplet
39,,"0000",,,,,,,artworks/June2025/bwQLx6ArwtC7A8ikRrXO.png,N/A,2025-06-12 08:04:47,2025-06-12 08:04:47,,33,,,,,18,incomplet
40,,"0000",,,,,,,artworks/June2025/dMRAcoIaeQUWP4Y352pA.png,N/A,2025-06-12 08:06:04,2025-06-12 08:06:04,,33,,,,,18,incomplet
41,,"0000",,,,,,,artworks/June2025/ctj83WTwRuZZuIQlg1E1.png,N/A,2025-06-12 08:06:53,2025-06-12 08:06:53,,33,,,,,18,incomplet
42,الفلاح,"0000",,,,,,,artworks/June2025/n2MAwRfA3naPyndEPidR.png,N/A,,2025-06-12 08:41:16,,33,,أورد العمل، أحمد فلمبان وطه مغربل، إضاءة للذكرى، الناشر طلال عباس أدهم، جدّة، 1436ه، ص 158.,,,35,incomplet
43,عمل,"0000",,,,,,,artworks/June2025/5AHo79R46noURmXg7Rmz.png,N/A,,2025-06-12 08:41:46,,33,,أورد العمل، أحمد فلمبان وطه مغربل، إضاءة للذكرى، الناشر طلال عباس أدهم، جدّة، 1436ه، ص 155.,,,35,incomplet
44,عمل,"0000",,,,,,,artworks/June2025/cisHUlB1rOEPQkRtx26g.png,N/A,2025-06-12 08:42:44,2025-06-12 08:42:44,,33,,أورد العمل، أحمد فلمبان وطه مغربل، إضاءة للذكرى، الناشر طلال عباس أدهم، جدّة، 1436ه، ص 155.,,,35,Completed
45,عمل,"0000",,,,,,,artworks/June2025/LZxX7xCXeX83Lef922jV.png,N/A,2025-06-12 08:43:53,2025-06-12 08:43:53,,33,,أورد العمل، أحمد فلمبان وطه مغربل، إضاءة للذكرى، الناشر طلال عباس أدهم، جدّة، 1436ه، ص 154.,,,35,incomplet
46,من أعمال محمد الصندل,1987,زيتية على قماش,,,,,,artworks/June2025/b6NxCdaChAbQXtmv5Mo1.png,N/A,2025-06-12 08:45:31,2025-06-12 08:45:31,,33,,,,,35,incomplet
47,الواحة,1974,زيتية على قماش,,,,,,artworks/June2025/NMZKcs9Qx5UizWn09SNb.png,N/A,2025-06-12 08:46:57,2025-06-12 08:46:57,,33,,الواحة، من أعمال محمد الصندل، زيتية على قماش، من المرشّح 1974,,,35,incomplet
48,Abha Landscape,1999,,139.5 X 90 cm,,,,,artworks/June2025/sv6x6BmCof3QDKdbDcP9.png,N/A,,2025-06-12 10:00:13,,33,,,,,71,incomplet
49,,"0000",,,,,,,artworks/June2025/PFtU2UF17snzuxBKei8s.png,N/A,2025-06-12 09:57:16,2025-06-12 09:57:16,,33,,,,,71,incomplet
50,,"0000",,,,,,,artworks/June2025/Z17q3WuBjFEknOw81xEE.png,N/A,2025-06-12 09:57:17,2025-06-12 09:57:17,,33,,,,,71,incomplet
51,,"0000",,,,,,,artworks/June2025/Z5havqKhYMyna8qt7SmH.png,N/A,2025-06-12 09:57:18,2025-06-12 09:57:18,,33,,,,,71,incomplet
52,family-House,1999,,85.5 X 90.5 cm,,,,,artworks/June2025/O25tJDph9Y92sdIpnLab.png,N/A,2025-06-12 09:58:53,2025-06-12 09:58:53,,33,,,,,71,incomplet
